
Host: node35.bme.utexas.edu

Timers On : Mon Oct  5 15:26:23 2020
Timers Off: Mon Oct  5 15:26:47 2020

Wall Time:       24.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
New vector                          :      0.000u      0.000s      0.003w     49 calls
HF: Form C                          :      0.500u      0.017s      0.029w     53 calls
Grad: V T Perturb                   :     16.083u      1.783s      1.340w      6 calls
Grad: S                             :      0.033u      0.000s      0.003w      6 calls
Grad: JK                            :     67.167u      4.000s      5.599w      6 calls
JKGrad: Amn                         :     12.267u      0.633s      1.179w      6 calls
JKGrad: Awmn                        :      2.433u      0.117s      0.191w      6 calls
JKGrad: AB                          :     15.683u      0.950s      1.248w      6 calls
JKGrad: UV                          :      0.133u      0.033s      0.013w      6 calls
JKGrad: ABx                         :     13.917u      0.900s      1.110w      6 calls
JKGrad: Amnx                        :     18.117u      1.000s      1.473w      6 calls
Grad: XC                            :      8.733u      0.200s      0.666w      6 calls
V_xc gradient                       :      1.334p                           6351 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.667u      0.400s      0.536w      6 calls
JK: (A|mn)                          :      2.150u      0.017s      0.163w      6 calls
JK: (A|Q)^-1/2                      :     15.500u      0.867s      1.233w      6 calls
JK: (Q|mn)                          :      0.150u      0.017s      0.012w      6 calls
JK: (A|mn)^L                        :      0.900u      0.017s      0.066w      6 calls
JK: (A|Q)^-1                        :     15.417u      0.967s      1.232w      6 calls
JK: (Q|mn)^L                        :      0.100u      0.050s      0.010w      6 calls
JK: (A|mn)^R                        :      0.950u      0.017s      0.073w      6 calls
HF: Form core H                     :      0.750u      0.083s      0.069w      6 calls
HF: Form S/X                        :      0.067u      0.000s      0.005w      6 calls
HF: Guess                           :     20.267u      1.083s      1.667w      6 calls
| SAD Guess                         :     19.867u      1.050s      1.637w      2 calls
HF: Form G                          :     50.850u      1.033s      3.877w     55 calls
| RV: Form V                        :     47.550u      0.767s      3.615w     55 calls
| | Properties                      :      4.830p                          58188 calls
| | Functional                      :     17.664p                          58188 calls
| | V_xc                            :      5.682p                          58188 calls
| JK: D                             :      0.067u      0.000s      0.002w     55 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     55 calls
| JK: JK                            :      2.983u      0.250s      0.244w     55 calls
| | JK: J                           :      0.233u      0.050s      0.025w     55 calls
| | | JK: J1                        :      0.083u      0.050s      0.012w     55 calls
| | | JK: J2                        :      0.133u      0.000s      0.011w     55 calls
| | JK: K                           :      0.750u      0.050s      0.056w     55 calls
| | | JK: K1                        :      0.467u      0.017s      0.031w     55 calls
| | | JK: K2                        :      0.283u      0.017s      0.023w     55 calls
| | JK: wK                          :      1.617u      0.100s      0.128w    110 calls
| | | JK: wK1                       :      1.150u      0.067s      0.093w    220 calls
| | | JK: wK2                       :      0.433u      0.033s      0.029w    110 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     55 calls
HF: Form F                          :      0.000u      0.000s      0.003w     55 calls
HF: Form D                          :      0.083u      0.000s      0.002w     55 calls
HF: DIIS                            :      1.417u      0.100s      0.126w     53 calls
| DIISManager::add_entry            :      0.850u      0.067s      0.069w     49 calls
| DIISManager::extrapolate          :      0.100u      0.017s      0.019w     49 calls
| | bMatrix setup                   :      0.050u      0.017s      0.005w     49 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.008w     49 calls
| | New vector                      :      0.000u      0.000s      0.003w     49 calls
HF: Form C                          :      0.500u      0.017s      0.029w     53 calls
Grad: V T Perturb                   :     16.083u      1.783s      1.340w      6 calls
Grad: S                             :      0.033u      0.000s      0.003w      6 calls
Grad: JK                            :     67.167u      4.000s      5.599w      6 calls
| JKGrad: Amn                       :     12.267u      0.633s      1.179w      6 calls
| JKGrad: Awmn                      :      2.433u      0.117s      0.191w      6 calls
| JKGrad: AB                        :     15.683u      0.950s      1.248w      6 calls
| JKGrad: UV                        :      0.133u      0.033s      0.013w      6 calls
| JKGrad: ABx                       :     13.917u      0.900s      1.110w      6 calls
| JKGrad: Amnx                      :     18.117u      1.000s      1.473w      6 calls
Grad: XC                            :      8.733u      0.200s      0.666w      6 calls
| Properties                        :      1.557p                           6351 calls
| Functional                        :      1.892p                           6351 calls
| V_xc gradient                     :      1.334p                           6351 calls

**************************************************************************************

